LSOA2001,PTAI2015,PTAL
E01000555,6.41204,2
E01000556,24.2404,5
E01000557,20.271,5
E01000558,15.2121,4
E01000559,13.4688,3
E01000560,12.834,3
E01000561,20.7355,5
E01000562,3.15073,1b
E01000563,4.22988,1b
E01000564,8.36473,2
E01000565,5.34441,2
E01000566,3.73595,1b
E01000567,4.89553,1b
E01000568,14.9771,3
E01000569,6.57701,2
E01000570,8.26411,2
E01000571,9.18539,2
E01000572,4.8928,1b
E01000573,9.52887,2
E01000574,7.54603,2
E01000575,9.64411,2
E01000576,9.45531,2
E01000577,7.48327,2
E01000578,15.6884,4
E01000579,20.7977,5
E01000580,13.5201,3
E01000581,14.8603,3
E01000582,17.8654,4
E01000583,21.4701,5
E01000584,18.746,4
E01000585,20.9996,5
E01000586,25.4762,6a
E01000587,6.57772,2
E01000588,8.43137,2
E01000589,7.31725,2
E01000590,4.5137,1b
E01000591,10.2145,3
E01000592,13.3227,3
E01000593,5.72728,2
E01000594,10.194,3
E01000595,7.63652,2
E01000596,6.14733,2
E01000597,9.23032,2
E01000598,6.53838,2
E01000599,17.0746,4
E01000600,8.41437,2
E01000601,8.08791,2
E01000602,8.18938,2
E01000603,7.44581,2
E01000604,8.91884,2
E01000605,10.7299,3
E01000606,7.53501,2
E01000607,7.60076,2
E01000608,8.98574,2
E01000609,7.65401,2
E01000610,11.5702,3
E01000611,15.7886,4
E01000612,15.8235,4
E01000613,6.7341,2
E01000614,17.2212,4
E01000615,8.52318,2
E01000616,16.0057,4
E01000617,9.45288,2
E01000618,5.30492,2
E01000619,1.01551,1a
E01000620,8.14347,2
E01000621,10.1976,3
E01000622,2.96019,1b
E01000623,4.83839,1b
E01000624,1.83461,1a
E01000625,8.24699,2
E01000626,7.31984,2
E01000627,10.8824,3
E01000628,8.78678,2
E01000629,4.47077,1b
E01000630,12.6801,3
E01000631,9.70624,2
E01000632,12.2081,3
E01000633,21.4938,5
E01000634,14.0097,3
E01000635,22.6437,5
E01000636,16.7044,4
E01000637,13.9611,3
E01000638,10.6557,3
E01000639,14.91,3
E01000640,21.8738,5
E01000641,17.7922,4
E01000642,18.9243,4
E01000643,7.8774,2
E01000644,15.7692,4
E01000645,4.29695,1b
E01000646,4.81849,1b
E01000647,2.93262,1b
E01000648,7.97442,2
E01000649,8.30551,2
E01000650,4.78328,1b
E01000651,8.29657,2
E01000652,3.18018,1b
E01000653,3.9032,1b
E01000654,0.711652,1a
E01000655,1.71283,1a
E01000656,0.836094,1a
E01000657,4.80241,1b
E01000658,2.0065,1a
E01000659,1.67138,1a
E01000660,3.54951,1b
E01000661,6.12614,2
E01000662,2.57166,1b
E01000663,4.26798,1b
E01000664,1.7047,1a
E01000665,5.66403,2
E01000666,2.32615,1a
E01000667,5.34512,2
E01000668,6.62823,2
E01000669,7.89737,2
E01000670,20.9143,5
E01000671,10.8991,3
E01000672,3.9783,1b
E01000673,8.33057,2
E01000674,10.5695,3
E01000675,24.4005,5
E01000676,28.5572,6a
E01000677,21.1558,5
E01000678,10.4015,3
E01000679,4.63573,1b
E01000680,0.644017,1a
E01000681,7.12198,2
E01000682,4.28869,1b
E01000683,3.21424,1b
E01000684,3.3141,1b
E01000685,3.08348,1b
E01000686,5.22803,2
E01000687,3.45597,1b
E01000688,1.88459,1a
E01000689,0.864227,1a
E01000690,4.51981,1b
E01000691,4.50777,1b
E01000692,6.05187,2
E01000693,2.73488,1b
E01000694,4.15811,1b
E01000695,2.09427,1a
E01000696,3.85493,1b
E01000697,6.06957,2
E01000698,3.03878,1b
E01000699,14.3404,3
E01000700,12.92,3
E01000701,13.9283,3
E01000702,19.5921,4
E01000703,15.8188,4
E01000704,12.0814,3
E01000705,8.66781,2
E01000706,13.9242,3
E01000707,8.49433,2
E01000708,11.3352,3
E01000709,16.3467,4
E01000710,7.75415,2
E01000711,10.7344,3
E01000712,9.9824,2
E01000713,6.10035,2
E01000714,19.0414,4
E01000715,9.40138,2
E01000716,5.9385,2
E01000717,10.1245,3
E01000718,5.76209,2
E01000719,6.42454,2
E01000720,0.28618,1a
E01000721,2.03274,1a
E01000722,10.9295,3
E01000723,3.18145,1b
E01000724,2.02463,1a
E01000725,8.85412,2
E01000726,3.59992,1b
E01000727,9.46883,2
E01000728,1.09329,1a
E01000729,4.38842,1b
E01000730,11.5311,3
E01000731,4.1597,1b
E01000732,3.8989,1b
E01000733,7.03999,2
E01000734,2.62358,1b
E01000735,4.89802,1b
E01000736,3.92591,1b
E01000737,3.58034,1b
E01000738,4.34076,1b
E01000739,6.43171,2
E01000740,15.3686,4
E01000741,19.8266,4
E01000742,15.8842,4
E01000743,13.1255,3
E01000744,8.68306,2
E01000745,12.8424,3
E01000746,21.8196,5
E01000747,0.957134,1a
E01000748,0.405613,1a
E01000749,0.476072,1a
E01000750,1.21206,1a
E01000751,2.06822,1a
E01000752,2.24921,1a
E01000753,2.42617,1a
E01000754,11.5688,3
E01000755,9.75678,2
E01000756,4.76967,1b
E01000757,3.73619,1b
E01000758,14.8711,3
E01000759,1.10066,1a
E01000760,4.87486,1b
E01000761,2.3273,1a
E01000762,4.37203,1b
E01000763,3.75679,1b
E01000764,3.74711,1b
E01000765,2.41497,1a
E01000766,7.15412,2
E01000767,9.53692,2
E01000768,7.31486,2
E01000769,3.35963,1b
E01000770,6.30486,2
E01000771,9.24839,2
E01000772,4.6789,1b
E01000773,3.76763,1b
E01000774,7.38448,2
E01000775,4.91034,1b
E01000776,12.1081,3
E01000777,6.53104,2
E01000778,3.67453,1b
E01000779,3.49308,1b
E01000780,5.5796,2
E01000781,7.38845,2
E01000782,5.60989,2
E01000783,6.55821,2
E01000784,4.52413,1b
E01000785,3.93254,1b
E01000786,2.56309,1b
E01000787,3.99293,1b
E01000788,11.0892,3
E01000789,5.12375,2
E01000790,21.7193,5
E01000791,5.40641,2
E01000792,4.3915,1b
E01000793,5.32948,2
E01000794,5.19259,2
E01000795,2.99055,1b
E01000796,13.5919,3
E01000797,13.1399,3
E01000798,14.3556,3
E01000799,17.9432,4
E01000800,14.3168,3
E01000801,15.2094,4
E01000802,16.6572,4
E01000803,12.0387,3
E01000804,5.26206,2
E01000805,13.6843,3
E01000806,17.9533,4
E01000807,7.3957,2
E01000808,3.24554,1b
E01000809,5.78398,2
E01000810,8.26036,2
E01000811,10.7998,3
E01000812,7.65251,2
E01000813,5.27963,2
E01000814,11.9807,3
E01000815,6.78654,2
E01000816,6.94499,2
E01000817,5.47998,2
E01000818,2.37689,1a
E01000819,5.58105,2
E01000820,4.79018,1b
E01000821,5.14645,2
E01000822,8.20768,2
E01000823,9.76816,2
E01000824,15.9188,4
E01000825,10.3366,3
E01000826,2.24561,1a
E01000827,4.84076,1b
E01000828,8.37147,2
E01000829,19.1676,4
E01000830,3.17597,1b
E01000831,5.77025,2
E01000832,5.32819,2
E01000833,2.81427,1b
E01000834,3.68791,1b
E01000835,7.63649,2
E01000836,4.10367,1b
E01000837,5.18839,2
E01000838,4.17723,1b
E01000839,1.55032,1a
E01000840,3.12167,1b
E01000841,4.0552,1b
E01000842,12.1622,3
E01000843,13.1695,3
E01000844,17.3376,4
E01000845,11.618,3
E01000846,10.2054,3
E01000847,17.3803,4
E01000848,13.2437,3
E01000849,17.436,4
E01000850,62.6618,6b
E01000851,55.0582,6b
E01000852,83.1544,6b
E01000853,73.1792,6b
E01000854,67.7297,6b
E01000855,63.19,6b
E01000856,42.4264,6b
E01000857,12.1124,3
E01000858,25.9939,6a
E01000859,11.7204,3
E01000860,7.15373,2
E01000861,41.5854,6b
E01000862,21.9385,5
E01000863,43.6587,6b
E01000864,7.84971,2
E01000865,17.2052,4
E01000866,24.6208,5
E01000867,35.5049,6a
E01000868,5.92594,2
E01000869,14.1162,3
E01000870,22.4492,5
E01000871,9.91706,2
E01000872,19.5099,4
E01000873,10.2418,3
E01000874,23.6788,5
E01000875,19.1387,4
E01000876,15.0746,4
E01000877,18.0408,4
E01000878,14.2155,3
E01000879,18.5891,4
E01000880,20.6078,5
E01000881,26.9112,6a
E01000882,21.9953,5
E01000883,31.3927,6a
E01000884,5.72284,2
E01000885,5.68296,2
E01000886,12.5612,3
E01000887,18.925,4
E01000888,14.3022,3
E01000889,12.6576,3
E01000890,11.3929,3
E01000891,11.0683,3
E01000892,16.9827,4
E01000893,4.60725,1b
E01000894,9.43746,2
E01000895,13.906,3
E01000896,15.3479,4
E01000897,15.777,4
E01000898,19.3603,4
E01000899,4.94096,1b
E01000900,16.8435,4
E01000901,19.9858,4
E01000902,14.9716,3
E01000903,13.4116,3
E01000904,28.539,6a
E01000905,20.7067,5
E01000906,18.2211,4
E01000907,13.7572,3
E01000908,6.31415,2
E01000909,8.16553,2
E01000910,17.9521,4
E01000911,19.6645,4
E01000912,6.58256,2
E01000913,3.64315,1b
E01000914,60.1685,6b
E01000915,50.4737,6b
E01000916,55.1058,6b
E01000917,58.3439,6b
E01000918,83.5067,6b
E01000919,87.5882,6b
E01000920,43.1404,6b
E01000921,25.1522,6a
E01000922,22.4201,5
E01000923,22.28,5
E01000924,18.733,4
E01000925,20.5869,5
E01000926,18.2701,4
E01000927,30.7341,6a
E01000928,20.2364,5
E01000929,19.4136,4
E01000930,27.3387,6a
E01000931,21.9324,5
E01000932,25.2571,6a
E01000933,28.7906,6a
E01000934,16.2306,4
E01000935,14.4791,3
E01000936,32.3907,6a
E01000937,51.5901,6b
E01000938,73.2331,6b
E01000939,82.7078,6b
E01000940,57.595,6b
E01000941,71.9473,6b
E01000942,91.7288,6b
E01000943,78.3652,6b
E01000944,30.568,6a
E01000945,58.5862,6b
E01000946,23.0251,5
E01000947,37.842,6a
E01000948,20.994,5
E01000949,18.7654,4
E01000950,27.6479,6a
E01000951,35.5703,6a
E01000952,45.221,6b
E01000953,45.0041,6b
E01000954,36.3043,6a
E01000955,63.7766,6b
E01000956,83.8862,6b
E01000957,16.2338,4
E01000958,36.7298,6a
E01000959,42.9236,6b
E01000960,37.2568,6a
E01000961,28.8328,6a
E01000962,28.1847,6a
E01000963,26.8844,6a
E01000964,36.0696,6a
E01000965,26.5335,6a
E01000966,21.1491,5
E01000967,7.65545,2
E01000968,27.5282,6a
E01000969,26.6359,6a
E01000970,22.4513,5
E01000971,16.8373,4
E01000972,28.7901,6a
E01000973,28.3065,6a
E01000974,23.2694,5
E01000975,47.5401,6b
E01000976,17.6807,4
E01000977,16.394,4
E01000978,17.8068,4
E01000979,35.4789,6a
E01000980,5.00434,2
E01000981,11.3124,3
E01000982,5.57008,2
E01000983,12.1659,3
E01000984,9.66633,2
E01000985,6.61153,2
E01000986,12.0438,3
E01000987,12.2564,3
E01000988,7.5301,2
E01000989,2.73496,1b
E01000990,8.96779,2
E01000991,1.70561,1a
E01000992,7.71603,2
E01000993,15.1917,4
E01000994,5.78846,2
E01000995,5.73622,2
E01000996,7.88526,2
E01000997,14.9387,3
E01000998,15.261,4
E01000999,9.77532,2
E01001000,16.508,4
E01001001,14.5739,3
E01001002,11.9305,3
E01001003,10.512,3
E01001004,6.5655,2
E01001005,16.5447,4
E01001006,7.39707,2
E01001007,8.63286,2
E01001008,8.70143,2
E01001009,11.6571,3
E01001010,8.46356,2
E01001011,21.9286,5
